trial,nrows,func,time (ns)
0,1000,add,389800.00
1,1000,add,165900.00
2,1000,add,199700.00
3,1000,add,175600.00
4,1000,add,156900.00
0,1000,mul,160000.00
1,1000,mul,218900.00
2,1000,mul,176500.00
3,1000,mul,138100.00
4,1000,mul,175600.00
0,1000,cumsum,147600.00
1,1000,cumsum,175000.00
2,1000,cumsum,107700.00
3,1000,cumsum,102700.00
4,1000,cumsum,104500.00
0,1000,abs,65300.00
1,1000,abs,45600.00
2,1000,abs,41000.00
3,1000,abs,29400.00
4,1000,abs,27900.00
0,1000,mean,95200.00
1,1000,mean,106500.00
2,1000,mean,64900.00
3,1000,mean,79100.00
4,1000,mean,92500.00
0,1000,std,97900.00
1,1000,std,57600.00
2,1000,std,102700.00
3,1000,std,113400.00
4,1000,std,106700.00
0,1000,count,117800.00
1,1000,count,57600.00
2,1000,count,82400.00
3,1000,count,55900.00
4,1000,count,81400.00
0,1000,unique,145300.00
1,1000,unique,85600.00
2,1000,unique,74200.00
3,1000,unique,127700.00
4,1000,unique,88900.00
0,10000,add,292300.00
1,10000,add,162700.00
2,10000,add,126900.00
3,10000,add,109900.00
4,10000,add,126500.00
0,10000,mul,210400.00
1,10000,mul,165200.00
2,10000,mul,140700.00
3,10000,mul,192100.00
4,10000,mul,140200.00
0,10000,cumsum,342600.00
1,10000,cumsum,189100.00
2,10000,cumsum,193600.00
3,10000,cumsum,109100.00
4,10000,cumsum,102800.00
0,10000,abs,63800.00
1,10000,abs,80900.00
2,10000,abs,33300.00
3,10000,abs,66900.00
4,10000,abs,98900.00
0,10000,mean,134900.00
1,10000,mean,153700.00
2,10000,mean,81100.00
3,10000,mean,70200.00
4,10000,mean,117200.00
0,10000,std,121200.00
1,10000,std,64700.00
2,10000,std,62700.00
3,10000,std,109400.00
4,10000,std,70900.00
0,10000,count,109900.00
1,10000,count,66000.00
2,10000,count,64500.00
3,10000,count,68300.00
4,10000,count,59400.00
0,10000,unique,406500.00
1,10000,unique,264700.00
2,10000,unique,384000.00
3,10000,unique,396100.00
4,10000,unique,419000.00
0,100000,add,398600.00
1,100000,add,203399.00
2,100000,add,199100.00
3,100000,add,199600.00
4,100000,add,207600.00
0,100000,mul,135400.00
1,100000,mul,151200.00
2,100000,mul,200300.00
3,100000,mul,235600.00
4,100000,mul,173000.00
0,100000,cumsum,450900.00
1,100000,cumsum,359700.00
2,100000,cumsum,353700.00
3,100000,cumsum,452400.00
4,100000,cumsum,377000.00
0,100000,abs,64900.00
1,100000,abs,60000.00
2,100000,abs,57100.00
3,100000,abs,46400.00
4,100000,abs,57000.00
0,100000,mean,171100.00
1,100000,mean,140200.00
2,100000,mean,129400.00
3,100000,mean,129200.00
4,100000,mean,128200.00
0,100000,std,234700.00
1,100000,std,227300.00
2,100000,std,224100.00
3,100000,std,222700.00
4,100000,std,239800.00
0,100000,count,103200.00
1,100000,count,96700.00
2,100000,count,93800.00
3,100000,count,91400.00
4,100000,count,91600.00
0,100000,unique,2117100.00
1,100000,unique,2087300.00
2,100000,unique,2209000.00
3,100000,unique,2379200.00
4,100000,unique,2229700.00
0,1000000,add,1120300.00
1,1000000,add,980300.00
2,1000000,add,1038100.00
3,1000000,add,664000.00
4,1000000,add,739799.00
0,1000000,mul,616200.00
1,1000000,mul,770500.00
2,1000000,mul,836300.00
3,1000000,mul,796300.00
4,1000000,mul,682000.00
0,1000000,cumsum,2992499.00
1,1000000,cumsum,3267899.00
2,1000000,cumsum,3215599.00
3,1000000,cumsum,3204000.00
4,1000000,cumsum,3564799.00
0,1000000,abs,971500.00
1,1000000,abs,717399.00
2,1000000,abs,525700.00
3,1000000,abs,477700.00
4,1000000,abs,354900.00
0,1000000,mean,955600.00
1,1000000,mean,853800.00
2,1000000,mean,921599.00
3,1000000,mean,960500.00
4,1000000,mean,957900.00
0,1000000,std,2072500.00
1,1000000,std,2162499.00
2,1000000,std,2091600.00
3,1000000,std,2288499.00
4,1000000,std,2164600.00
0,1000000,count,826999.00
1,1000000,count,798200.00
2,1000000,count,677100.00
3,1000000,count,727900.00
4,1000000,count,774500.00
0,1000000,unique,28539093.00
1,1000000,unique,26469695.00
2,1000000,unique,28995794.00
3,1000000,unique,26503694.00
4,1000000,unique,24435095.00
0,10000000,add,7237691.00
1,10000000,add,18228078.00
2,10000000,add,14983982.00
3,10000000,add,7490791.00
4,10000000,add,7607091.00
0,10000000,mul,6991691.00
1,10000000,mul,7120691.00
2,10000000,mul,7852691.00
3,10000000,mul,6937691.00
4,10000000,mul,7782491.00
0,10000000,cumsum,28276166.00
1,10000000,cumsum,29259464.00
2,10000000,cumsum,29592565.00
3,10000000,cumsum,28381266.00
4,10000000,cumsum,30893863.00
0,10000000,abs,4878194.00
1,10000000,abs,4824394.00
2,10000000,abs,5212694.00
3,10000000,abs,5599193.00
4,10000000,abs,4672494.00
0,10000000,mean,9901388.00
1,10000000,mean,9655588.00
2,10000000,mean,10686987.00
3,10000000,mean,9734089.00
4,10000000,mean,9466189.00
0,10000000,std,18983577.00
1,10000000,std,19034777.00
2,10000000,std,19197877.00
3,10000000,std,19082077.00
4,10000000,std,19031377.00
0,10000000,count,8025890.00
1,10000000,count,8332690.00
2,10000000,count,7640890.00
3,10000000,count,8327390.00
4,10000000,count,8015591.00
0,10000000,unique,949356931.00
1,10000000,unique,987428267.00
2,10000000,unique,1099841863.00
3,10000000,unique,1010230566.00
4,10000000,unique,933991769.00
